ADCODE99,NAME_EN_JX,n_points,mean_score_2020,mean_score_current,delta_mean,change_rate,change_rate_pct,median_score_2020,median_score_current,delta_median
100000,China,90479,0.18469901122647464,0.18469901122647464,0.0,0.0,0.0,0.03532012336074443,0.03532012336074443,0.0
110000,Beijing,99,0.3413890768058183,0.3413890768058183,0.0,0.0,0.0,0.36787773346442443,0.36787773346442443,0.0
120000,Tianjin,87,0.021524953495119157,0.021524953495119157,0.0,0.0,0.0,-0.02000750620171332,-0.02000750620171332,0.0
130000,Hebei,1674,0.3284197650173054,0.3284197650173054,0.0,0.0,0.0,0.3062194440229157,0.3062194440229157,0.0
140000,Shanxi,1457,0.7163489296626755,0.7163489296626755,0.0,0.0,0.0,0.7833202011890279,0.7833202011890279,0.0
150000,Inner Mongolia,10650,0.07712704221556452,0.07712704221556452,0.0,0.0,0.0,0.02639278995042542,0.02639278995042542,0.0
210000,Liaoning,1291,0.5498723118235065,0.5498723118235065,0.0,0.0,0.0,0.5778242665493307,0.5778242665493307,0.0
220000,Jilin,1758,0.26831521523791185,0.26831521523791185,0.0,0.0,0.0,0.23136452784552586,0.23136452784552586,0.0
230000,Heilongjiang,4152,0.09994237316567395,0.09994237316567395,0.0,0.0,0.0,0.03463151631062994,0.03463151631062994,0.0
310000,Shanghai,27,-0.13196427438687863,-0.13196427438687863,0.0,0.0,0.0,-0.13356159851822724,-0.13356159851822724,0.0
320000,Jiangsu,889,0.19905220660932987,0.19905220660932987,0.0,0.0,0.0,0.11146462132128931,0.11146462132128931,0.0
330000,Zhejiang,947,0.3721650994835615,0.3721650994835615,0.0,0.0,0.0,0.367366747764474,0.367366747764474,0.0
340000,Anhui,1343,0.44201412042527094,0.44201412042527094,0.0,0.0,0.0,0.4593339747019304,0.4593339747019304,0.0
350000,Fujian,1200,0.16452459315466372,0.16452459315466372,0.0,0.0,0.0,0.16161412459073055,0.16161412459073055,0.0
360000,Jiangxi,1700,0.5593161409881388,0.5593161409881388,0.0,0.0,0.0,0.6038616970897692,0.6038616970897692,0.0
370000,Shandong,1390,0.42185307276787765,0.42185307276787765,0.0,0.0,0.0,0.42203468810884726,0.42203468810884726,0.0
410000,Henan,1540,0.10065273438461335,0.10065273438461335,0.0,0.0,0.0,0.0738579499128299,0.0738579499128299,0.0
420000,Hubei,1811,0.4900952746352512,0.4900952746352512,0.0,0.0,0.0,0.5204118116110017,0.5204118116110017,0.0
430000,Hunan,2153,0.5788312965214976,0.5788312965214976,0.0,0.0,0.0,0.6121046876515464,0.6121046876515464,0.0
440000,Guangdong,1736,0.5243689273197337,0.5243689273197337,0.0,0.0,0.0,0.549755992186566,0.549755992186566,0.0
450000,Guangxi,2497,0.5922318601970342,0.5922318601970342,0.0,0.0,0.0,0.6595223038500349,0.6595223038500349,0.0
460000,Hainan,377,0.0011796678364959536,0.0011796678364959536,0.0,0.0,0.0,0.0007699652059471873,0.0007699652059471873,0.0
500000,Chongqing,815,0.5569315992934732,0.5569315992934732,0.0,0.0,0.0,0.5617947256173856,0.5617947256173856,0.0
510000,Sichuan,4780,0.049439562944188734,0.049439562944188734,0.0,0.0,0.0,0.01108554091724756,0.01108554091724756,0.0
520000,Guizhou,1807,0.5931735932737463,0.5931735932737463,0.0,0.0,0.0,0.629898344864456,0.629898344864456,0.0
530000,Yunnan,4016,0.24501432740436155,0.24501432740436155,0.0,0.0,0.0,0.18107972298170616,0.18107972298170616,0.0
540000,Tibet,11904,0.001723139453169857,0.001723139453169857,0.0,0.0,0.0,0.0,0.0,0.0
610000,Shaanxi,1977,0.33829500670357426,0.33829500670357426,0.0,0.0,0.0,0.3194179092076297,0.3194179092076297,0.0
620000,Gansu,3828,0.11397173937713503,0.11397173937713503,0.0,0.0,0.0,0.054189204530121625,0.054189204530121625,0.0
630000,Qinghai,6855,0.017016962491960236,0.017016962491960236,0.0,0.0,0.0,0.0,0.0,0.0
640000,Ningxia,484,0.17975883167878803,0.17975883167878803,0.0,0.0,0.0,0.1861259364417907,0.1861259364417907,0.0
650000,Xinjiang,15235,0.06934696441067985,0.06934696441067985,0.0,0.0,0.0,0.004850570739694998,0.004850570739694998,0.0
