source,target,source_group,target_group,edge_weight,edge_weight_abs,edge_sign,is_direct_to_target,is_mediator_edge,is_selected_for_main_figure
HUSS,RISK,Climate,Target,-0.322809746806848,0.322809746806848,negative,True,False,True
HDS,RISK,Hydrogeology,Target,-0.2892125363910805,0.2892125363910805,negative,True,False,True
PR,RISK,Climate,Target,0.28342264242028903,0.28342264242028903,positive,True,False,True
TAS,RISK,Climate,Target,0.27961676850267586,0.27961676850267586,positive,True,False,True
DK,RISK,Hydrogeology,Target,-0.26486005692119674,0.26486005692119674,negative,True,False,True
DB,RISK,Hydrogeology,Target,-0.17779478641377583,0.17779478641377583,negative,True,False,False
LAI,RISK,Anthropogenic,Target,-0.11614726535146458,0.11614726535146458,negative,True,False,False
PT,RISK,Anthropogenic,Target,0.10598050066974046,0.10598050066974046,positive,True,False,False
UF,RISK,Anthropogenic,Target,0.07197612572717402,0.07197612572717402,positive,True,False,False
WTD,RISK,Anthropogenic,Target,-0.050187541808409855,0.050187541808409855,negative,True,False,False
IP,RISK,Anthropogenic,Target,0.03525916782398987,0.03525916782398987,positive,True,False,False
UF,IP,Anthropogenic,Anthropogenic,0.5080337014159875,0.5080337014159875,positive,False,True,True
PT,UF,Anthropogenic,Anthropogenic,0.4582773125036018,0.4582773125036018,positive,False,True,True
PR,LAI,Climate,Anthropogenic,0.4174216466758888,0.4174216466758888,positive,False,True,True
HUSS,LAI,Climate,Anthropogenic,0.4065159748230056,0.4065159748230056,positive,False,True,True
PR,UF,Climate,Anthropogenic,0.34637696421888525,0.34637696421888525,positive,False,True,True
HUSS,UF,Climate,Anthropogenic,-0.26339434065551093,0.26339434065551093,negative,False,True,True
HDS,WTD,Hydrogeology,Anthropogenic,0.25989078446810127,0.25989078446810127,positive,False,True,True
HDS,LAI,Hydrogeology,Anthropogenic,-0.23535481914292472,0.23535481914292472,negative,False,True,False
HUSS,WTD,Climate,Anthropogenic,-0.17201349408275585,0.17201349408275585,negative,False,True,False
HDS,UF,Hydrogeology,Anthropogenic,-0.1588614801065188,0.1588614801065188,negative,False,True,False
TAS,LAI,Climate,Anthropogenic,-0.1459415741062592,0.1459415741062592,negative,False,True,False
PT,IP,Anthropogenic,Anthropogenic,0.14188790975589421,0.14188790975589421,positive,False,True,False
PR,IP,Climate,Anthropogenic,0.13460303784853025,0.13460303784853025,positive,False,True,False
DB,WTD,Hydrogeology,Anthropogenic,-0.12562387003087636,0.12562387003087636,negative,False,True,False
LAI,UF,Anthropogenic,Anthropogenic,-0.12312080415776783,0.12312080415776783,negative,False,True,False
HUSS,IP,Climate,Anthropogenic,-0.12297412684039286,0.12297412684039286,negative,False,True,False
TAS,WTD,Climate,Anthropogenic,0.1107403305044867,0.1107403305044867,positive,False,True,False
PT,LAI,Anthropogenic,Anthropogenic,-0.09983203289665202,0.09983203289665202,negative,False,True,False
DB,LAI,Hydrogeology,Anthropogenic,-0.08743461700581034,0.08743461700581034,negative,False,True,False
DF,LAI,Hydrogeology,Anthropogenic,-0.08609424623339568,0.08609424623339568,negative,False,True,False
DF,WTD,Hydrogeology,Anthropogenic,-0.08142021276460529,0.08142021276460529,negative,False,True,False
DB,IP,Hydrogeology,Anthropogenic,0.07863310937532139,0.07863310937532139,positive,False,True,False
DB,UF,Hydrogeology,Anthropogenic,0.07568701413438014,0.07568701413438014,positive,False,True,False
DK,LAI,Hydrogeology,Anthropogenic,0.0741026245829634,0.0741026245829634,positive,False,True,False
PR,WTD,Climate,Anthropogenic,-0.07374613496159149,0.07374613496159149,negative,False,True,False
DK,UF,Hydrogeology,Anthropogenic,-0.048937680856902366,0.048937680856902366,negative,False,True,False
DK,WTD,Hydrogeology,Anthropogenic,-0.04479397125035659,0.04479397125035659,negative,False,True,False
DK,IP,Hydrogeology,Anthropogenic,-0.03862551321263033,0.03862551321263033,negative,False,True,False
WTD,LAI,Anthropogenic,Anthropogenic,0.03602190775775892,0.03602190775775892,positive,False,True,False
DF,UF,Hydrogeology,Anthropogenic,-0.030933768517261553,0.030933768517261553,negative,False,True,False
PT,WTD,Anthropogenic,Anthropogenic,-0.030755508791536938,0.030755508791536938,negative,False,True,False
HDS,IP,Hydrogeology,Anthropogenic,-0.021992395740729146,0.021992395740729146,negative,False,True,False
WTD,UF,Anthropogenic,Anthropogenic,-0.021556124892062198,0.021556124892062198,negative,False,True,False
WTD,IP,Anthropogenic,Anthropogenic,-0.01823346492873901,0.01823346492873901,negative,False,True,False
